participant,interference_type,encoding_strategy,true_recall_proportion
058217,control,imag_association,0.6222222222222222
058217,verbal,imag_association,0.5111111111111111
058217,visual,imag_association,0.7111111111111111
077402,control,verb_association,0.5777777777777777
077402,verbal,verb_association,0.5555555555555556
077402,visual,verb_association,0.5333333333333333
121818,control,imag_single,0.6
121818,verbal,imag_single,0.6444444444444445
121818,visual,imag_single,0.6222222222222222
143678,control,verb_association,0.7333333333333333
143678,verbal,verb_association,0.8
143678,visual,verb_association,0.6222222222222222
191144,control,imag_single,0.6444444444444445
191144,verbal,imag_single,0.4444444444444444
191144,visual,imag_single,0.5777777777777777
371642,control,verb_single,0.6888888888888889
371642,verbal,verb_single,0.7111111111111111
371642,visual,verb_single,0.4888888888888889
453153,control,verb_association,0.4666666666666667
453153,verbal,verb_association,0.4444444444444444
453153,visual,verb_association,0.4222222222222222
510800,control,verb_association,0.4888888888888889
510800,verbal,verb_association,0.5333333333333333
510800,visual,verb_association,0.4888888888888889
522897,control,imag_association,0.6
522897,verbal,imag_association,0.4222222222222222
522897,visual,imag_association,0.4222222222222222
571749,control,verb_association,0.5777777777777777
571749,verbal,verb_association,0.6666666666666666
571749,visual,verb_association,0.6888888888888889
577763,control,imag_association,0.3111111111111111
577763,verbal,imag_association,0.26666666666666666
577763,visual,imag_association,0.5111111111111111
593556,control,verb_association,0.28888888888888886
593556,verbal,verb_association,0.3333333333333333
593556,visual,verb_association,0.28888888888888886
643685,control,verb_single,0.5333333333333333
643685,verbal,verb_single,0.4666666666666667
643685,visual,verb_single,0.26666666666666666
662545,control,imag_association,0.5777777777777777
662545,verbal,imag_association,0.4888888888888889
662545,visual,imag_association,0.4444444444444444
665565,control,imag_association,0.7111111111111111
665565,verbal,imag_association,0.6888888888888889
665565,visual,imag_association,0.6888888888888889
697823,control,imag_association,0.3111111111111111
697823,verbal,imag_association,0.5777777777777777
697823,visual,imag_association,0.4222222222222222
746087,control,verb_single,0.5555555555555556
746087,verbal,verb_single,0.3111111111111111
746087,visual,verb_single,0.5555555555555556
781513,control,verb_association,0.5333333333333333
781513,verbal,verb_association,0.5333333333333333
781513,visual,verb_association,0.5777777777777777
783294,control,imag_single,0.5111111111111111
783294,verbal,imag_single,0.4
783294,visual,imag_single,0.5111111111111111
801388,control,imag_single,0.088888889
801388,verbal,imag_single,0.13333333333333333
801388,visual,imag_single,0.088888889
825709,control,imag_single,0.6222222222222222
825709,verbal,imag_single,0.5111111111111111
825709,visual,imag_single,0.5777777777777777
841811,control,imag_single,0.6888888888888889
841811,verbal,imag_single,0.5111111111111111
841811,visual,imag_single,0.6444444444444445
862003,control,imag_association,0.8
862003,verbal,imag_association,0.8444444444444444
862003,visual,imag_association,0.7333333333333333
936429,control,verb_single,0.7333333333333333
936429,verbal,verb_single,0.6666666666666666
936429,visual,verb_single,0.4666666666666667
986610,control,verb_association,0.7111111111111111
986610,verbal,verb_association,0.5333333333333333
986610,visual,verb_association,0.7333333333333333
TgA3wccPQM9Has7,control,imag_single,0.6888888888888889
TgA3wccPQM9Has7,verbal,imag_single,0.4222222222222222
TgA3wccPQM9Has7,visual,imag_single,0.5555555555555556
